Method,Mean,Variance,Skewness,Kurtosis,Entropy,Label
Hybrid,125.30915827983111,2926.5375975996803,-0.027588050274096252,-0.6561347607224222,7.742479391375241,1
Hybrid,115.11357461476075,2526.2876196275474,0.07982304935439545,-0.6560169037199,7.617777101247182,1
Hybrid,134.91667084812929,4485.981838674867,-0.08630347513951675,-1.18095741798749,7.812641386314376,1
Hybrid,97.016835849384,2837.622858436294,0.4501331107477214,-0.7460829633374337,7.631244591865428,1
Hybrid,143.30340365312793,4085.674750028122,-0.1127953129510427,-1.2969673318556667,7.592945862400447,1
Hybrid,131.89470926920572,1182.5371112903947,0.1835528989900507,0.6795432219546669,7.098299136891036,1
Hybrid,91.50337219238281,2407.8007291882145,0.9473239063581075,0.9400608889751889,7.446776657810477,1
Hybrid,133.16753133138022,4309.694818384843,0.524195387499163,-0.9539791234044643,7.380999709633487,1
Hybrid,117.55899047851562,1687.3110495423898,-0.08143710798494021,-0.14891130050045343,7.176277299564498,1
Hybrid,127.9620869954427,4062.5976023176286,0.5369062632635123,-0.7073524365614405,7.640816786177704,1
Hybrid,129.23663838704428,1651.136400345066,-0.34498907403154816,0.5117068441009645,7.188814101172782,1
